Customer_ID,Age,Gender,Item_Purchased,Category,Purchase _Amount_USD,Location,Size,Color,Season,Review_Ratio,Subscription_Status,Discount_Applied,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Age_Bracket,Spending_Tier,Frequency_Tier
1,55,Male,Blouse,Clothing,53,Kentucky,Large,Gray,Winter,3.1,Yes,Yes,14,Venmo,Fortnightly,Pre-Senior Adults,Moderate Spender,Frequent Customer
2,19,Male,Sweater,Clothing,64,Maine,Large,Maroon,Winter,3.1,Yes,Yes,2,Cash,Fortnightly,Young Adults,High Spender,Frequent Customer
3,50,Male,Jeans,Clothing,73,Massachusetts,Small,Maroon,Spring,3.1,Yes,Yes,23,Credit Card,Weekly,Mature Adults,High Spender,Loyal Customer
4,21,Male,Sandals,Footwear,90,Rhode Island,Medium,Maroon,Spring,3.5,Yes,Yes,49,PayPal,Weekly,Young Adults,Premium Spender,Loyal Customer
5,45,Male,Blouse,Clothing,49,Oregon,Medium,Turquoise,Spring,2.7,Yes,Yes,31,PayPal,Annually,Mature Adults,Moderate Spender,Rare Customer
6,46,Male,Sneakers,Footwear,20,Wyoming,Medium,White,Summer,2.9,Yes,Yes,14,Venmo,Weekly,Mature Adults,Low Spender,Loyal Customer
7,63,Male,Shirt,Clothing,85,Montana,Medium,Gray,Fall,3.2,Yes,Yes,49,Cash,Quarterly,Pre-Senior Adults,Premium Spender,Occasional Customer
8,27,Male,Shorts,Clothing,34,Louisiana,Large,Charcoal,Winter,3.2,Yes,Yes,19,Credit Card,Weekly,Early Adults,Low Spender,Loyal Customer
9,26,Male,Coat,Outerwear,97,West Virginia,Large,Silver,Summer,2.6,Yes,Yes,8,Venmo,Annually,Early Adults,Premium Spender,Rare Customer
10,57,Male,Handbag,Accessories,31,Missouri,Medium,Pink,Spring,4.8,Yes,Yes,4,Cash,Quarterly,Pre-Senior Adults,Low Spender,Occasional Customer
11,53,Male,Shoes,Footwear,34,Arkansas,Large,Purple,Fall,4.1,Yes,Yes,26,Bank Transfer,Bi-Weekly,Mature Adults,Low Spender,Frequent Customer
12,30,Male,Shorts,Clothing,68,Hawaii,Small,Olive,Winter,4.9,Yes,Yes,10,Bank Transfer,Fortnightly,Early Adults,High Spender,Frequent Customer
